batch_size,buffer_size,init_entcoef,train_interval,tau,num_layers,hidden_units,value
308,1000000.0,0.9606954759998154,4,0.009627550521022607,3,223,-15.041666666666666
848,100000.0,0.9337346618574145,3,0.006019024420392211,3,416,-15.87459259259259
590,1000000.0,0.9564731635313808,3,0.009067602371214496,3,228,-15.561555555555557
389,1000000.0,0.9230707147445287,4,0.009642517766461238,3,178,-15.565555555555555
244,1000000.0,0.5759632745652318,4,0.009724734058495622,2,215,-15.99562962962963
2048,500000.0,0.5,1,0.005,1,512,-15.035666666666668
1888,1000000.0,0.6658943246416674,1,0.008983105042850064,2,463,-15.723703703703704
1395,100000.0,0.6110118829949142,1,0.00918087694965804,1,286,-15.703333333333333
1078,500000.0,0.9855491894501835,5,0.00913690926891512,1,151,-15.126925925925926
2009,500000.0,0.5004152266323626,3,0.00508837905849738,1,145,-15.99488888888889
1698,500000.0,0.7017803188145088,4,0.006719319468550414,1,468,-15.758296296296296
1242,500000.0,0.5296108972383076,2,0.005590209016950095,1,333,-15.002148148148148
534,500000.0,0.520839640582655,4,0.005335200194847585,2,432,-15.416333333333332
1576,100000.0,0.5,4,0.0074218172175972135,3,512,-15.995703703703704
836,100000.0,0.5,2,0.005295510670783118,3,512,-15.723333333333336
1799,500000.0,0.5,4,0.009671629352772004,2,361,-15.348703703703704
1971,500000.0,0.5,2,0.006341883623733345,1,512,-15.147814814814815
142,1000000.0,0.9716286658883567,2,0.00911000752178416,2,221,-15.729296296296296
1774,1000000.0,0.5,2,0.006247628504198645,2,512,-15.99748148148148
1035,500000.0,0.5806683418592659,2,0.005308532535660538,1,338,-15.36174074074074
1355,500000.0,0.5297414677977239,3,0.006532315643733513,2,405,-15.579259259259258
1388,500000.0,0.5,1,0.006740444382114031,1,416,-15.73537037037037
1472,500000.0,0.5183301832860396,1,0.007460964582176729,2,412,-15.674666666666667
217,1000000.0,0.9667349982383208,5,0.007404604626986831,2,224,-15.565888888888889
1213,500000.0,0.5657454686441816,3,0.007256844730116552,2,347,-15.623999999999999
1078,500000.0,0.5,1,0.0077793491412688175,3,445,-15.692740740740739
1287,500000.0,0.8375079141159159,2,0.007920631912674737,1,329,-15.99533333333333
1483,500000.0,0.5,2,0.005914820505826134,1,312,-15.997777777777777
1057,500000.0,0.5313095791465331,3,0.005404865801751548,1,334,-15.995333333333335
1219,500000.0,0.5007766170882031,3,0.00547996236043536,1,327,-14.987185185185185
575,100000.0,0.9587729223385577,2,0.007829423561240905,2,221,-15.44333333333333
1239,500000.0,0.5140142266964121,3,0.007510770291151158,1,325,-15.994888888888887
1233,500000.0,0.5177220079080818,1,0.007379018236013,1,327,-15.574666666666669
1240,500000.0,0.5555436085960704,2,0.005200529130162631,1,328,-15.532499999999999
1233,500000.0,0.5133539483506648,2,0.005432135941488133,3,330,-15.99653846153846
1236,500000.0,0.6185930343116289,1,0.005099091457287233,1,327,-15.833384615384615
